,Model,Accuracy,Precision Class 0,Recall Class 0,F1-Score Class 0,Precision Class 1,Recall Class 1,F1-Score Class 1,ROC-AUC
0,Dummy,0.8506,0.8506,1.0,0.9192694261320653,0.0,0.0,0.0,0.5
1,Random Forest,0.9896666666666667,0.9986548504510208,0.9986548504510208,0.9986548504510208,0.9415749364944962,0.9924141008478358,0.9663263089289593,0.9976908880831649
