model,split,threshold,accuracy,precision,recall,f1,f2,roc_auc,beta
Tuned_XGB_2,test,0.49120911955833435,0.9897666666666667,0.9467393583560495,0.9883975481611208,0.9671200599764378,0.9797751833687774,0.9993290071900811,2
Tuned_XGB_2,train,0.18903705477714539,0.9877333333333334,0.983414827540637,0.9922,0.9877878807990974,0.9904304309633455,0.9993873827777777,2
Tuned_XGB_2,val,0.7831016778945923,0.9930666666666667,0.9657802964254577,0.9886211512717537,0.9770672546857773,0.9839669568306981,0.9993298340753528,2
Baseline_SVM_1,test,0.7966431038449867,0.9554666666666667,0.8928050559066601,0.8040718038528897,0.8461184058972587,0.8203788081836862,0.9790465071790633,1
Baseline_SVM_1,val,0.7864244283590661,0.9557333333333333,0.8823957322987391,0.8119143239625167,0.8456890541482687,0.8250952294576456,0.9800303179958647,1
Baseline_SVM_1,train,0.4001723441726839,0.9264666666666667,0.9371924548933843,0.9142,0.9255534557235421,0.9187077929038482,0.9744895650000001,1
Baseline_SVM_2,val,0.40052004689521553,0.9403666666666667,0.7366848303744068,0.9350736278447122,0.8241077573493265,0.8872845831392641,0.9800303179958647,2
Baseline_SVM_2,train,0.29338170464932956,0.8929,0.8351817096058693,0.979,0.9013902955528957,0.9464057847724372,0.9744895650000001,2
Baseline_SVM_2,test,0.4001727656295103,0.9387,0.734490462278742,0.9356392294220666,0.8229517666313662,0.8870532564028061,0.9790465071790633,2
Baseline_log_reg_1,test,0.6518378840531681,0.9523,0.9689088191330344,0.7095008756567426,0.8191583470238848,0.7496414858676043,0.9557291379739192,1
Baseline_log_reg_1,val,0.5608036249782892,0.9551333333333333,0.9474885844748858,0.7407407407407407,0.8314550463310794,0.774542739828294,0.95890934570199,1
Baseline_log_reg_1,train,0.41579437231348837,0.8816666666666667,0.8533950617283951,0.9216666666666666,0.8862179487179487,0.9071522309711285,0.9402432194444443,1
Baseline_KNN_1,test,1.0,0.9316,0.699429296131896,0.9658493870402802,0.8113276940051489,0.8974776240846217,0.959917898916874,1
Baseline_KNN_1,train,0.6,0.9555666666666667,0.9237566662532556,0.9931,0.9571740666966523,0.9784107926332659,0.9633284455555555,1
Baseline_KNN_1,val,1.0,0.9302,0.6895238095238095,0.9692101740294511,0.8057874234835838,0.8964834076275383,0.958444807611283,1
Baseline_KNN_2,test,0.6,0.9256666666666666,0.6745818399044206,0.9888353765323993,0.8020241477272727,0.9045578340275553,0.959917898916874,2
Baseline_KNN_2,train,0.4,0.9541666666666667,0.9178422473012757,0.9976333333333334,0.9560759008433427,0.9805842419794507,0.9633284455555555,2
Baseline_KNN_2,val,0.6,0.9241666666666667,0.6654670865197181,0.9901829540383758,0.7959824231010671,0.9021425377078506,0.958444807611283,2
Baseline_log_reg_2,test,0.41689452601172006,0.8593333333333333,0.5206699928724162,0.9595008756567426,0.6750346527029109,0.8210940427126264,0.9557291379739192,2
Baseline_log_reg_2,val,0.4168923594721036,0.8641333333333333,0.5246538741802284,0.963855421686747,0.6794589493551432,0.8256249522207783,0.95890934570199,2
Baseline_log_reg_2,train,0.41579437231348837,0.8816666666666667,0.8533950617283951,0.9216666666666666,0.8862179487179487,0.9071522309711285,0.9402432194444443,2
Dummy_Classifier_2,test,0.0,0.15226666666666666,0.15226666666666666,1.0,0.26429067345521867,0.4731521378853165,0.5,2
Dummy_Classifier_2,val,0.0,0.1494,0.1494,1.0,0.25996171915782146,0.4675763645468203,0.5,2
Dummy_Classifier_2,train,0.0,0.5,0.5,1.0,0.6666666666666666,0.8333333333333334,0.5,2
Dummy_Classifier_1,test,0.0,0.15226666666666666,0.15226666666666666,1.0,0.26429067345521867,0.4731521378853165,0.5,1
Dummy_Classifier_1,val,0.0,0.1494,0.1494,1.0,0.25996171915782146,0.4675763645468203,0.5,1
Dummy_Classifier_1,train,0.0,0.5,0.5,1.0,0.6666666666666666,0.8333333333333334,0.5,1
